=== WEIGHTS ONLY ===
Total weights: 288,122,268
4492.weight: 112,412/112,880 zeros (99.59%)
4494.weight: 124,031/124,500 zeros (99.62%)
4496.weight: 149,125/149,625 zeros (99.67%)
4498.weight: 163,089/163,590 zeros (99.69%)
4500.weight: 164,320/164,820 zeros (99.70%)
4502.weight: 165,126/165,624 zeros (99.70%)
4504.weight: 165,952/166,448 zeros (99.70%)
4506.weight: 165,960/166,448 zeros (99.71%)
4508.weight: 165,964/166,448 zeros (99.71%)
4510.weight: 164,368/164,832 zeros (99.72%)
4512.weight: 162,744/163,200 zeros (99.72%)
4514.weight: 140,370/140,800 zeros (99.69%)
4516.weight: 100,994/101,376 zeros (99.62%)
4518.weight: 82,464/82,944 zeros (99.42%)
4520.weight: 73,440/73,728 zeros (99.61%)
4522.weight: 81,283/81,664 zeros (99.53%)
4524.weight: 91,553/91,872 zeros (99.65%)
4526.weight: 91,206/91,584 zeros (99.59%)
4528.weight: 91,266/91,584 zeros (99.65%)
4530.weight: 90,636/91,008 zeros (99.59%)
4532.weight: 90,692/91,008 zeros (99.65%)
4534.weight: 89,496/89,856 zeros (99.60%)
4536.weight: 89,544/89,856 zeros (99.65%)
4538.weight: 87,216/87,552 zeros (99.62%)
4540.weight: 87,248/87,552 zeros (99.65%)
4542.weight: 73,410/73,728 zeros (99.57%)
4544.weight: 73,248/73,728 zeros (99.35%)
4546.weight: 73,440/73,728 zeros (99.61%)
4548.weight: 81,283/81,664 zeros (99.53%)
4550.weight: 91,553/91,872 zeros (99.65%)
4552.weight: 91,206/91,584 zeros (99.59%)
4554.weight: 91,266/91,584 zeros (99.65%)
4556.weight: 90,636/91,008 zeros (99.59%)
4558.weight: 90,692/91,008 zeros (99.65%)
4560.weight: 89,496/89,856 zeros (99.60%)
4562.weight: 89,544/89,856 zeros (99.65%)
4564.weight: 87,216/87,552 zeros (99.62%)
4566.weight: 87,248/87,552 zeros (99.65%)
4568.weight: 73,410/73,728 zeros (99.57%)
4570.weight: 85,616/86,016 zeros (99.53%)
4572.weight: 109,808/110,208 zeros (99.64%)
4574.weight: 111,052/111,520 zeros (99.58%)
4576.weight: 112,412/112,880 zeros (99.59%)
4578.weight: 124,031/124,500 zeros (99.62%)
4580.weight: 149,125/149,625 zeros (99.67%)
4582.weight: 163,089/163,590 zeros (99.69%)
4584.weight: 164,320/164,820 zeros (99.70%)
4586.weight: 165,126/165,624 zeros (99.70%)
4588.weight: 165,952/166,448 zeros (99.70%)
4590.weight: 165,960/166,448 zeros (99.71%)
4592.weight: 165,964/166,448 zeros (99.71%)
4594.weight: 164,368/164,832 zeros (99.72%)
4596.weight: 162,744/163,200 zeros (99.72%)
4598.weight: 140,370/140,800 zeros (99.69%)
4600.weight: 100,994/101,376 zeros (99.62%)
4602.weight: 82,464/82,944 zeros (99.42%)
4604.weight: 73,440/73,728 zeros (99.61%)
4606.weight: 81,283/81,664 zeros (99.53%)
4608.weight: 91,553/91,872 zeros (99.65%)
4610.weight: 91,206/91,584 zeros (99.59%)
4612.weight: 91,266/91,584 zeros (99.65%)
4614.weight: 90,636/91,008 zeros (99.59%)
4616.weight: 90,692/91,008 zeros (99.65%)
4618.weight: 89,496/89,856 zeros (99.60%)
4620.weight: 89,544/89,856 zeros (99.65%)
4622.weight: 87,216/87,552 zeros (99.62%)
4624.weight: 87,248/87,552 zeros (99.65%)
4626.weight: 73,410/73,728 zeros (99.57%)
4628.weight: 73,248/73,728 zeros (99.35%)
4630.weight: 73,440/73,728 zeros (99.61%)
4632.weight: 81,283/81,664 zeros (99.53%)
4634.weight: 91,553/91,872 zeros (99.65%)
4636.weight: 91,206/91,584 zeros (99.59%)
4638.weight: 91,266/91,584 zeros (99.65%)
4640.weight: 90,636/91,008 zeros (99.59%)
4642.weight: 90,692/91,008 zeros (99.65%)
4644.weight: 89,496/89,856 zeros (99.60%)
4646.weight: 89,544/89,856 zeros (99.65%)
4648.weight: 87,216/87,552 zeros (99.62%)
4650.weight: 87,248/87,552 zeros (99.65%)
4652.weight: 73,410/73,728 zeros (99.57%)
4654.weight: 85,616/86,016 zeros (99.53%)
4656.weight: 109,808/110,208 zeros (99.64%)
4658.weight: 111,052/111,520 zeros (99.58%)
4660.weight: 112,412/112,880 zeros (99.59%)
4662.weight: 124,031/124,500 zeros (99.62%)
4664.weight: 149,125/149,625 zeros (99.67%)
4666.weight: 163,089/163,590 zeros (99.69%)
4668.weight: 164,320/164,820 zeros (99.70%)
4670.weight: 165,126/165,624 zeros (99.70%)
4672.weight: 165,952/166,448 zeros (99.70%)
4674.weight: 165,960/166,448 zeros (99.71%)
4676.weight: 165,964/166,448 zeros (99.71%)
4678.weight: 164,368/164,832 zeros (99.72%)
4680.weight: 162,744/163,200 zeros (99.72%)
4682.weight: 140,370/140,800 zeros (99.69%)
4684.weight: 100,994/101,376 zeros (99.62%)
4686.weight: 82,464/82,944 zeros (99.42%)
4688.weight: 73,440/73,728 zeros (99.61%)
4690.weight: 81,283/81,664 zeros (99.53%)
4692.weight: 91,553/91,872 zeros (99.65%)
4694.weight: 91,206/91,584 zeros (99.59%)
4696.weight: 91,266/91,584 zeros (99.65%)
4698.weight: 90,636/91,008 zeros (99.59%)
4700.weight: 90,692/91,008 zeros (99.65%)
4702.weight: 89,496/89,856 zeros (99.60%)
4704.weight: 89,544/89,856 zeros (99.65%)
4706.weight: 87,216/87,552 zeros (99.62%)
4708.weight: 87,248/87,552 zeros (99.65%)
4710.weight: 73,410/73,728 zeros (99.57%)
4712.weight: 73,248/73,728 zeros (99.35%)
4714.weight: 73,440/73,728 zeros (99.61%)
4716.weight: 81,283/81,664 zeros (99.53%)
4718.weight: 91,553/91,872 zeros (99.65%)
4720.weight: 91,206/91,584 zeros (99.59%)
4722.weight: 91,266/91,584 zeros (99.65%)
4724.weight: 90,636/91,008 zeros (99.59%)
4726.weight: 90,692/91,008 zeros (99.65%)
4728.weight: 89,496/89,856 zeros (99.60%)
4730.weight: 89,544/89,856 zeros (99.65%)
4732.weight: 87,216/87,552 zeros (99.62%)
4734.weight: 87,248/87,552 zeros (99.65%)
4736.weight: 73,410/73,728 zeros (99.57%)
4738.weight: 85,616/86,016 zeros (99.53%)
4740.weight: 109,808/110,208 zeros (99.64%)
4742.weight: 111,052/111,520 zeros (99.58%)
4744.weight: 112,412/112,880 zeros (99.59%)
4746.weight: 124,031/124,500 zeros (99.62%)
4748.weight: 149,125/149,625 zeros (99.67%)
4750.weight: 163,089/163,590 zeros (99.69%)
4752.weight: 164,320/164,820 zeros (99.70%)
4754.weight: 165,126/165,624 zeros (99.70%)
4756.weight: 165,952/166,448 zeros (99.70%)
4758.weight: 165,960/166,448 zeros (99.71%)
4760.weight: 165,964/166,448 zeros (99.71%)
4762.weight: 164,368/164,832 zeros (99.72%)
4764.weight: 162,744/163,200 zeros (99.72%)
4766.weight: 140,370/140,800 zeros (99.69%)
4768.weight: 100,994/101,376 zeros (99.62%)
4770.weight: 82,464/82,944 zeros (99.42%)
4772.weight: 73,440/73,728 zeros (99.61%)
4774.weight: 81,283/81,664 zeros (99.53%)
4776.weight: 91,553/91,872 zeros (99.65%)
4778.weight: 91,206/91,584 zeros (99.59%)
4780.weight: 91,266/91,584 zeros (99.65%)
4782.weight: 90,636/91,008 zeros (99.59%)
4784.weight: 90,692/91,008 zeros (99.65%)
4786.weight: 89,496/89,856 zeros (99.60%)
4788.weight: 89,544/89,856 zeros (99.65%)
4790.weight: 87,216/87,552 zeros (99.62%)
4792.weight: 87,248/87,552 zeros (99.65%)
4794.weight: 73,410/73,728 zeros (99.57%)
4796.weight: 73,248/73,728 zeros (99.35%)
4798.weight: 73,440/73,728 zeros (99.61%)
4800.weight: 81,283/81,664 zeros (99.53%)
4802.weight: 91,553/91,872 zeros (99.65%)
4804.weight: 91,206/91,584 zeros (99.59%)
4806.weight: 91,266/91,584 zeros (99.65%)
4808.weight: 90,636/91,008 zeros (99.59%)
4810.weight: 90,692/91,008 zeros (99.65%)
4812.weight: 89,496/89,856 zeros (99.60%)
4814.weight: 89,544/89,856 zeros (99.65%)
4816.weight: 87,216/87,552 zeros (99.62%)
4818.weight: 87,248/87,552 zeros (99.65%)
4820.weight: 73,410/73,728 zeros (99.57%)
4822.weight: 85,616/86,016 zeros (99.53%)
4824.weight: 109,808/110,208 zeros (99.64%)
4826.weight: 111,052/111,520 zeros (99.58%)
4828.weight: 112,412/112,880 zeros (99.59%)
4830.weight: 124,031/124,500 zeros (99.62%)
4832.weight: 149,125/149,625 zeros (99.67%)
4834.weight: 163,089/163,590 zeros (99.69%)
4836.weight: 164,320/164,820 zeros (99.70%)
4838.weight: 165,126/165,624 zeros (99.70%)
4840.weight: 165,952/166,448 zeros (99.70%)
4842.weight: 165,960/166,448 zeros (99.71%)
4844.weight: 165,964/166,448 zeros (99.71%)
4846.weight: 164,368/164,832 zeros (99.72%)
4848.weight: 162,744/163,200 zeros (99.72%)
4850.weight: 140,370/140,800 zeros (99.69%)
4852.weight: 100,994/101,376 zeros (99.62%)
4854.weight: 82,464/82,944 zeros (99.42%)
4856.weight: 73,440/73,728 zeros (99.61%)
4858.weight: 81,283/81,664 zeros (99.53%)
4860.weight: 91,553/91,872 zeros (99.65%)
4862.weight: 91,206/91,584 zeros (99.59%)
4864.weight: 91,266/91,584 zeros (99.65%)
4866.weight: 90,636/91,008 zeros (99.59%)
4868.weight: 90,692/91,008 zeros (99.65%)
4870.weight: 89,496/89,856 zeros (99.60%)
4872.weight: 89,544/89,856 zeros (99.65%)
4874.weight: 87,216/87,552 zeros (99.62%)
4876.weight: 87,248/87,552 zeros (99.65%)
4878.weight: 73,410/73,728 zeros (99.57%)
4880.weight: 73,248/73,728 zeros (99.35%)
4882.weight: 73,440/73,728 zeros (99.61%)
4884.weight: 81,283/81,664 zeros (99.53%)
4886.weight: 91,553/91,872 zeros (99.65%)
4888.weight: 91,206/91,584 zeros (99.59%)
4890.weight: 91,266/91,584 zeros (99.65%)
4892.weight: 90,636/91,008 zeros (99.59%)
4894.weight: 90,692/91,008 zeros (99.65%)
4896.weight: 89,496/89,856 zeros (99.60%)
4898.weight: 89,544/89,856 zeros (99.65%)
4900.weight: 87,216/87,552 zeros (99.62%)
4902.weight: 87,248/87,552 zeros (99.65%)
4904.weight: 73,410/73,728 zeros (99.57%)
4906.weight: 85,616/86,016 zeros (99.53%)
4908.weight: 109,808/110,208 zeros (99.64%)
4910.weight: 111,052/111,520 zeros (99.58%)
4912.weight: 112,412/112,880 zeros (99.59%)
4914.weight: 124,031/124,500 zeros (99.62%)
4916.weight: 149,125/149,625 zeros (99.67%)
4918.weight: 163,089/163,590 zeros (99.69%)
4920.weight: 164,320/164,820 zeros (99.70%)
4922.weight: 165,126/165,624 zeros (99.70%)
4924.weight: 165,952/166,448 zeros (99.70%)
4926.weight: 165,960/166,448 zeros (99.71%)
4928.weight: 165,964/166,448 zeros (99.71%)
4930.weight: 164,368/164,832 zeros (99.72%)
4932.weight: 162,744/163,200 zeros (99.72%)
4934.weight: 140,370/140,800 zeros (99.69%)
4936.weight: 100,994/101,376 zeros (99.62%)
4938.weight: 82,464/82,944 zeros (99.42%)
4940.weight: 73,440/73,728 zeros (99.61%)
4942.weight: 81,283/81,664 zeros (99.53%)
4944.weight: 91,553/91,872 zeros (99.65%)
4946.weight: 91,206/91,584 zeros (99.59%)
4948.weight: 91,266/91,584 zeros (99.65%)
4950.weight: 90,636/91,008 zeros (99.59%)
4952.weight: 90,692/91,008 zeros (99.65%)
4954.weight: 89,496/89,856 zeros (99.60%)
4956.weight: 89,544/89,856 zeros (99.65%)
4958.weight: 87,216/87,552 zeros (99.62%)
4960.weight: 87,248/87,552 zeros (99.65%)
4962.weight: 73,410/73,728 zeros (99.57%)
4964.weight: 73,248/73,728 zeros (99.35%)
4966.weight: 73,440/73,728 zeros (99.61%)
4968.weight: 81,283/81,664 zeros (99.53%)
4970.weight: 91,553/91,872 zeros (99.65%)
4972.weight: 91,206/91,584 zeros (99.59%)
4974.weight: 91,266/91,584 zeros (99.65%)
4976.weight: 90,636/91,008 zeros (99.59%)
4978.weight: 90,692/91,008 zeros (99.65%)
4980.weight: 89,496/89,856 zeros (99.60%)
4982.weight: 89,544/89,856 zeros (99.65%)
4984.weight: 87,216/87,552 zeros (99.62%)
4986.weight: 87,248/87,552 zeros (99.65%)
4988.weight: 73,410/73,728 zeros (99.57%)
4990.weight: 85,616/86,016 zeros (99.53%)
4992.weight: 109,808/110,208 zeros (99.64%)
4994.weight: 111,052/111,520 zeros (99.58%)
4996.weight: 112,412/112,880 zeros (99.59%)
4998.weight: 124,031/124,500 zeros (99.62%)
5000.weight: 149,125/149,625 zeros (99.67%)
5002.weight: 163,089/163,590 zeros (99.69%)
5004.weight: 164,320/164,820 zeros (99.70%)
5006.weight: 165,126/165,624 zeros (99.70%)
5008.weight: 165,952/166,448 zeros (99.70%)
5010.weight: 165,960/166,448 zeros (99.71%)
5012.weight: 165,964/166,448 zeros (99.71%)
5014.weight: 164,368/164,832 zeros (99.72%)
5016.weight: 162,744/163,200 zeros (99.72%)
5018.weight: 140,370/140,800 zeros (99.69%)
5020.weight: 100,994/101,376 zeros (99.62%)
5022.weight: 82,464/82,944 zeros (99.42%)
5024.weight: 73,440/73,728 zeros (99.61%)
5026.weight: 81,283/81,664 zeros (99.53%)
5028.weight: 91,553/91,872 zeros (99.65%)
5030.weight: 91,206/91,584 zeros (99.59%)
5032.weight: 91,266/91,584 zeros (99.65%)
5034.weight: 90,636/91,008 zeros (99.59%)
5036.weight: 90,692/91,008 zeros (99.65%)
5038.weight: 89,496/89,856 zeros (99.60%)
5040.weight: 89,544/89,856 zeros (99.65%)
5042.weight: 87,216/87,552 zeros (99.62%)
5044.weight: 87,248/87,552 zeros (99.65%)
5046.weight: 73,410/73,728 zeros (99.57%)
5048.weight: 73,248/73,728 zeros (99.35%)
5050.weight: 73,440/73,728 zeros (99.61%)
5052.weight: 81,283/81,664 zeros (99.53%)
5054.weight: 91,553/91,872 zeros (99.65%)
5056.weight: 91,206/91,584 zeros (99.59%)
5058.weight: 91,266/91,584 zeros (99.65%)
5060.weight: 90,636/91,008 zeros (99.59%)
5062.weight: 90,692/91,008 zeros (99.65%)
5064.weight: 89,496/89,856 zeros (99.60%)
5066.weight: 89,544/89,856 zeros (99.65%)
5068.weight: 87,216/87,552 zeros (99.62%)
5070.weight: 87,248/87,552 zeros (99.65%)
5072.weight: 73,410/73,728 zeros (99.57%)
5074.weight: 85,616/86,016 zeros (99.53%)
5076.weight: 109,808/110,208 zeros (99.64%)
5078.weight: 111,052/111,520 zeros (99.58%)
5080.weight: 112,412/112,880 zeros (99.59%)
5082.weight: 124,031/124,500 zeros (99.62%)
5084.weight: 149,125/149,625 zeros (99.67%)
5086.weight: 163,089/163,590 zeros (99.69%)
5088.weight: 164,320/164,820 zeros (99.70%)
5090.weight: 165,126/165,624 zeros (99.70%)
5092.weight: 165,952/166,448 zeros (99.70%)
5094.weight: 165,960/166,448 zeros (99.71%)
5096.weight: 165,964/166,448 zeros (99.71%)
5098.weight: 164,368/164,832 zeros (99.72%)
5100.weight: 162,744/163,200 zeros (99.72%)
5102.weight: 140,370/140,800 zeros (99.69%)
5104.weight: 100,994/101,376 zeros (99.62%)
5106.weight: 82,464/82,944 zeros (99.42%)
5108.weight: 73,440/73,728 zeros (99.61%)
5110.weight: 81,283/81,664 zeros (99.53%)
5112.weight: 91,553/91,872 zeros (99.65%)
5114.weight: 91,206/91,584 zeros (99.59%)
5116.weight: 91,266/91,584 zeros (99.65%)
5118.weight: 90,636/91,008 zeros (99.59%)
5120.weight: 90,692/91,008 zeros (99.65%)
5122.weight: 89,496/89,856 zeros (99.60%)
5124.weight: 89,544/89,856 zeros (99.65%)
5126.weight: 87,216/87,552 zeros (99.62%)
5128.weight: 87,248/87,552 zeros (99.65%)
5130.weight: 73,410/73,728 zeros (99.57%)
5132.weight: 73,248/73,728 zeros (99.35%)
5134.weight: 73,440/73,728 zeros (99.61%)
5136.weight: 81,283/81,664 zeros (99.53%)
5138.weight: 91,553/91,872 zeros (99.65%)
5140.weight: 91,206/91,584 zeros (99.59%)
5142.weight: 91,266/91,584 zeros (99.65%)
5144.weight: 90,636/91,008 zeros (99.59%)
5146.weight: 90,692/91,008 zeros (99.65%)
5148.weight: 89,496/89,856 zeros (99.60%)
5150.weight: 89,544/89,856 zeros (99.65%)
5152.weight: 87,216/87,552 zeros (99.62%)
5154.weight: 87,248/87,552 zeros (99.65%)
5156.weight: 73,410/73,728 zeros (99.57%)
5158.weight: 85,616/86,016 zeros (99.53%)
5160.weight: 109,808/110,208 zeros (99.64%)
5162.weight: 111,052/111,520 zeros (99.58%)
5164.weight: 112,412/112,880 zeros (99.59%)
5166.weight: 124,031/124,500 zeros (99.62%)
5168.weight: 149,125/149,625 zeros (99.67%)
5170.weight: 163,089/163,590 zeros (99.69%)
5172.weight: 164,320/164,820 zeros (99.70%)
5174.weight: 165,126/165,624 zeros (99.70%)
5176.weight: 165,952/166,448 zeros (99.70%)
5178.weight: 165,960/166,448 zeros (99.71%)
5180.weight: 165,964/166,448 zeros (99.71%)
5182.weight: 164,368/164,832 zeros (99.72%)
5184.weight: 162,744/163,200 zeros (99.72%)
5186.weight: 140,370/140,800 zeros (99.69%)
5188.weight: 100,994/101,376 zeros (99.62%)
5190.weight: 82,464/82,944 zeros (99.42%)
5192.weight: 73,440/73,728 zeros (99.61%)
5194.weight: 81,283/81,664 zeros (99.53%)
5196.weight: 91,553/91,872 zeros (99.65%)
5198.weight: 91,206/91,584 zeros (99.59%)
5200.weight: 91,266/91,584 zeros (99.65%)
5202.weight: 90,636/91,008 zeros (99.59%)
5204.weight: 90,692/91,008 zeros (99.65%)
5206.weight: 89,496/89,856 zeros (99.60%)
5208.weight: 89,544/89,856 zeros (99.65%)
5210.weight: 87,216/87,552 zeros (99.62%)
5212.weight: 87,248/87,552 zeros (99.65%)
5214.weight: 73,410/73,728 zeros (99.57%)
5216.weight: 73,248/73,728 zeros (99.35%)
5218.weight: 73,440/73,728 zeros (99.61%)
5220.weight: 81,283/81,664 zeros (99.53%)
5222.weight: 91,553/91,872 zeros (99.65%)
5224.weight: 91,206/91,584 zeros (99.59%)
5226.weight: 91,266/91,584 zeros (99.65%)
5228.weight: 90,636/91,008 zeros (99.59%)
5230.weight: 90,692/91,008 zeros (99.65%)
5232.weight: 89,496/89,856 zeros (99.60%)
5234.weight: 89,544/89,856 zeros (99.65%)
5236.weight: 87,216/87,552 zeros (99.62%)
5238.weight: 87,248/87,552 zeros (99.65%)
5240.weight: 73,410/73,728 zeros (99.57%)
5242.weight: 85,616/86,016 zeros (99.53%)
5244.weight: 109,808/110,208 zeros (99.64%)
5246.weight: 111,052/111,520 zeros (99.58%)
5248.weight: 112,412/112,880 zeros (99.59%)
5250.weight: 124,031/124,500 zeros (99.62%)
5252.weight: 149,125/149,625 zeros (99.67%)
5254.weight: 163,089/163,590 zeros (99.69%)
5256.weight: 164,320/164,820 zeros (99.70%)
5258.weight: 165,126/165,624 zeros (99.70%)
5260.weight: 165,952/166,448 zeros (99.70%)
5262.weight: 165,960/166,448 zeros (99.71%)
5264.weight: 165,964/166,448 zeros (99.71%)
5266.weight: 164,368/164,832 zeros (99.72%)
5268.weight: 162,744/163,200 zeros (99.72%)
5270.weight: 140,370/140,800 zeros (99.69%)
5272.weight: 100,994/101,376 zeros (99.62%)
5274.weight: 82,464/82,944 zeros (99.42%)
5276.weight: 73,440/73,728 zeros (99.61%)
5278.weight: 81,283/81,664 zeros (99.53%)
5280.weight: 91,553/91,872 zeros (99.65%)
5282.weight: 91,206/91,584 zeros (99.59%)
5284.weight: 91,266/91,584 zeros (99.65%)
5286.weight: 90,636/91,008 zeros (99.59%)
5288.weight: 90,692/91,008 zeros (99.65%)
5290.weight: 89,496/89,856 zeros (99.60%)
5292.weight: 89,544/89,856 zeros (99.65%)
5294.weight: 87,216/87,552 zeros (99.62%)
5296.weight: 87,248/87,552 zeros (99.65%)
5298.weight: 73,410/73,728 zeros (99.57%)
5300.weight: 73,248/73,728 zeros (99.35%)
5302.weight: 73,440/73,728 zeros (99.61%)
5304.weight: 81,283/81,664 zeros (99.53%)
5306.weight: 91,553/91,872 zeros (99.65%)
5308.weight: 91,206/91,584 zeros (99.59%)
5310.weight: 91,266/91,584 zeros (99.65%)
5312.weight: 90,636/91,008 zeros (99.59%)
5314.weight: 90,692/91,008 zeros (99.65%)
5316.weight: 89,496/89,856 zeros (99.60%)
5318.weight: 89,544/89,856 zeros (99.65%)
5320.weight: 87,216/87,552 zeros (99.62%)
5322.weight: 87,248/87,552 zeros (99.65%)
5324.weight: 73,410/73,728 zeros (99.57%)
5326.weight: 65,216/65,536 zeros (99.51%)
5328.weight: 65,216/65,536 zeros (99.51%)
5330.weight: 65,152/65,536 zeros (99.41%)
5332.weight: 65,152/65,536 zeros (99.41%)
5334.weight: 73,091/73,472 zeros (99.48%)
5336.weight: 91,141/91,553 zeros (99.55%)
5338.weight: 101,033/101,442 zeros (99.60%)
5340.weight: 100,716/101,124 zeros (99.60%)
5342.weight: 100,086/100,488 zeros (99.60%)
5344.weight: 99,456/99,856 zeros (99.60%)
5346.weight: 98,204/98,592 zeros (99.61%)
5348.weight: 96,960/97,344 zeros (99.61%)
5350.weight: 94,488/94,848 zeros (99.62%)
5352.weight: 92,064/92,416 zeros (99.62%)
5354.weight: 77,490/77,824 zeros (99.57%)
5356.weight: 48,866/49,152 zeros (99.42%)
5358.weight: 36,480/36,864 zeros (98.96%)
5360.weight: 30,528/30,720 zeros (99.38%)
5362.weight: 35,395/35,680 zeros (99.20%)
5364.weight: 42,593/42,816 zeros (99.48%)
5366.weight: 42,342/42,624 zeros (99.34%)
5368.weight: 42,402/42,624 zeros (99.48%)
5370.weight: 41,964/42,240 zeros (99.35%)
5372.weight: 42,020/42,240 zeros (99.48%)
5374.weight: 41,208/41,472 zeros (99.36%)
5376.weight: 41,256/41,472 zeros (99.48%)
5378.weight: 39,696/39,936 zeros (99.40%)
5380.weight: 39,728/39,936 zeros (99.48%)
5382.weight: 30,498/30,720 zeros (99.28%)
5384.weight: 30,336/30,720 zeros (98.75%)
5386.weight: 30,528/30,720 zeros (99.38%)
5388.weight: 35,395/35,680 zeros (99.20%)
5390.weight: 42,593/42,816 zeros (99.48%)
5392.weight: 42,342/42,624 zeros (99.34%)
5394.weight: 42,402/42,624 zeros (99.48%)
5396.weight: 41,964/42,240 zeros (99.35%)
5398.weight: 42,020/42,240 zeros (99.48%)
5400.weight: 41,208/41,472 zeros (99.36%)
5402.weight: 41,256/41,472 zeros (99.48%)
5404.weight: 39,696/39,936 zeros (99.40%)
5406.weight: 39,728/39,936 zeros (99.48%)
5408.weight: 30,498/30,720 zeros (99.28%)
5410.weight: 50,912/51,200 zeros (99.44%)
5412.weight: 101,824/102,400 zeros (99.44%)
5414.weight: 121,670/122,240 zeros (99.53%)
5416.weight: 169,740/170,372 zeros (99.63%)
5418.weight: 197,398/198,024 zeros (99.68%)
5420.weight: 196,512/197,136 zeros (99.68%)
5422.weight: 194,748/195,360 zeros (99.69%)
5424.weight: 192,992/193,600 zeros (99.69%)
5426.weight: 189,496/190,080 zeros (99.69%)
5428.weight: 186,048/186,624 zeros (99.69%)
5430.weight: 179,184/179,712 zeros (99.71%)
5432.weight: 172,544/173,056 zeros (99.70%)
5434.weight: 132,644/133,120 zeros (99.64%)
5436.weight: 61,060/61,440 zeros (99.38%)
5438.weight: 8,640/9,216 zeros (93.75%)
5440.weight: 0/48 zeros (0.00%)
